,Study_name,Respondent_Name,Gender,Age,Group,Type,Label,Start,Duration,ParentStimulus,Parent_Stimulus_Start,Parent_Stimulus_Duration,Hit_time_G,Time_spent_G,Time_spent_G_Percentage,Respondent_ratio_G,Revisit_G_Revisitors,Revisit_G_Visitors,Revisit_G_Revisits,TTFF_F,Time_spent_F,Time_spent_F_Percentage,Revisit_F_Revisitors,Revisit_F_Visitors,Revisit_F_Revisits,Fixations_Count,First_Fixation_Duration,Average_Fixations_Duration,Mouse_Clicks
16,ECG Study,Resident,MALE,0,resident,Static AOI,Information NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,26125.0,50.0,0.0,1.0,0.0,1.0,0.0,26264.0,17.0,0.0,0.0,1.0,0.0,1.0,17.0,17.0,0.0
17,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,26875.0,417.0,1.0,1.0,0.0,1.0,0.0,13564.0,67.0,0.0,1.0,1.0,4.0,4.0,17.0,17.0,0.0
18,ECG Study,Resident,MALE,0,resident,Static AOI,V3-3 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,16375.0,383.0,1.0,1.0,1.0,1.0,2.0,16114.0,150.0,0.0,1.0,1.0,4.0,5.0,17.0,30.0,0.0
19,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,30125.0,67.0,0.0,1.0,0.0,0.0,0.0,18531.0,17.0,0.0,0.0,1.0,0.0,1.0,17.0,17.0,0.0
20,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,7125.0,1783.0,6.0,1.0,1.0,1.0,2.0,6964.0,801.0,3.0,1.0,1.0,6.0,23.0,17.0,35.0,0.0
21,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,7875.0,1350.0,4.0,1.0,1.0,1.0,2.0,7631.0,450.0,1.0,1.0,1.0,4.0,17.0,66.0,26.0,0.0
22,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,8875.0,1250.0,4.0,1.0,1.0,1.0,2.0,8147.0,533.0,2.0,1.0,1.0,4.0,17.0,17.0,31.0,0.0
23,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,20375.0,1316.0,4.0,1.0,1.0,1.0,3.0,7531.0,267.0,1.0,1.0,1.0,6.0,12.0,17.0,22.0,0.0
24,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,125.0,217.0,1.0,1.0,0.0,1.0,0.0,98.0,67.0,0.0,1.0,1.0,2.0,3.0,33.0,22.0,0.0
25,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 NSR,178603,30068,Normal sinus rhythm,178603.0,30068.0,24875.0,367.0,1.0,1.0,0.0,1.0,0.0,8798.0,150.0,1.0,1.0,1.0,4.0,8.0,17.0,19.0,0.0
26,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial fibrillation,309389,30054,,,,,,,,,,,,,,,,,,,,
27,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,7625.0,6896.0,23.0,1.0,1.0,1.0,4.0,7418.0,2300.0,8.0,1.0,1.0,25.0,78.0,16.0,29.0,0.0
28,ECG Study,Resident,MALE,0,resident,Static AOI,1 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,1125.0,1849.0,6.0,1.0,1.0,1.0,2.0,802.0,983.0,3.0,1.0,1.0,5.0,24.0,66.0,41.0,0.0
29,ECG Study,Resident,MALE,0,resident,Static AOI,aVR AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,2375.0,1932.0,6.0,1.0,1.0,1.0,2.0,1968.0,1016.0,3.0,1.0,1.0,4.0,33.0,33.0,31.0,0.0
30,ECG Study,Resident,MALE,0,resident,Static AOI,V1 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
31,ECG Study,Resident,MALE,0,resident,Static AOI,V4 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
32,ECG Study,Resident,MALE,0,resident,Static AOI,2 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,625.0,3798.0,13.0,1.0,1.0,1.0,4.0,535.0,1516.0,5.0,1.0,1.0,12.0,48.0,100.0,32.0,0.0
33,ECG Study,Resident,MALE,0,resident,Static AOI,aVL AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,6625.0,783.0,3.0,1.0,0.0,1.0,0.0,369.0,450.0,1.0,1.0,1.0,3.0,11.0,17.0,41.0,0.0
34,ECG Study,Resident,MALE,0,resident,Static AOI,V2 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
35,ECG Study,Resident,MALE,0,resident,Static AOI,V5 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
36,ECG Study,Resident,MALE,0,resident,Static AOI,3 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,16125.0,150.0,0.0,1.0,0.0,1.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
37,ECG Study,Resident,MALE,0,resident,Static AOI,aVF AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,30125.0,50.0,0.0,1.0,0.0,0.0,0.0,30034.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
38,ECG Study,Resident,MALE,0,resident,Static AOI,V3 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,16125.0,183.0,1.0,1.0,0.0,1.0,0.0,16034.0,50.0,0.0,0.0,1.0,0.0,1.0,50.0,50.0,0.0
39,ECG Study,Resident,MALE,0,resident,Static AOI,V6 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,15875.0,250.0,1.0,1.0,0.0,1.0,0.0,15768.0,183.0,1.0,0.0,1.0,0.0,2.0,50.0,92.0,0.0
40,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,125.0,6546.0,22.0,1.0,1.0,1.0,6.0,102.0,2268.0,8.0,1.0,1.0,21.0,75.0,33.0,30.0,0.0
41,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,13125.0,2332.0,8.0,1.0,1.0,1.0,2.0,11917.0,785.0,3.0,1.0,1.0,9.0,31.0,17.0,25.0,0.0
42,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 AFib,309389,30054,Atrial fibrillation,309389.0,30054.0,14125.0,1749.0,6.0,1.0,0.0,1.0,0.0,13918.0,1033.0,3.0,1.0,1.0,3.0,22.0,83.0,47.0,0.0
43,ECG Study,Resident,MALE,0,resident,Stimulus,hyperkalemia,72977,30080,,,,,,,,,,,,,,,,,,,,
44,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,5375.0,2751.0,9.0,1.0,1.0,1.0,4.0,4655.0,767.0,3.0,1.0,1.0,4.0,23.0,17.0,33.0,0.0
45,ECG Study,Resident,MALE,0,resident,Static AOI,1 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,875.0,1484.0,5.0,1.0,1.0,1.0,3.0,822.0,600.0,2.0,1.0,1.0,4.0,21.0,50.0,29.0,0.0
46,ECG Study,Resident,MALE,0,resident,Static AOI,aVR Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,3625.0,884.0,3.0,1.0,1.0,1.0,2.0,1972.0,316.0,1.0,1.0,1.0,7.0,13.0,16.0,24.0,0.0
47,ECG Study,Resident,MALE,0,resident,Static AOI,V1 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,12625.0,1050.0,3.0,1.0,1.0,1.0,3.0,12638.0,518.0,2.0,1.0,1.0,3.0,13.0,17.0,40.0,0.0
48,ECG Study,Resident,MALE,0,resident,Static AOI,V4 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,12375.0,1484.0,5.0,1.0,1.0,1.0,3.0,12471.0,999.0,3.0,1.0,1.0,3.0,15.0,67.0,67.0,0.0
49,ECG Study,Resident,MALE,0,resident,Static AOI,2 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,625.0,2601.0,9.0,1.0,1.0,1.0,5.0,39.0,1232.0,4.0,1.0,1.0,7.0,38.0,33.0,32.0,0.0
50,ECG Study,Resident,MALE,0,resident,Static AOI,aVL Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,375.0,1934.0,6.0,1.0,1.0,1.0,4.0,422.0,766.0,3.0,1.0,1.0,9.0,21.0,17.0,36.0,0.0
51,ECG Study,Resident,MALE,0,resident,Static AOI,V2 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,12125.0,583.0,2.0,1.0,1.0,1.0,3.0,12222.0,233.0,1.0,1.0,1.0,4.0,6.0,16.0,39.0,0.0
52,ECG Study,Resident,MALE,0,resident,Static AOI,V5 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,15625.0,1734.0,6.0,1.0,1.0,1.0,3.0,15755.0,1067.0,4.0,1.0,1.0,6.0,21.0,17.0,51.0,0.0
53,ECG Study,Resident,MALE,0,resident,Static AOI,3 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,9875.0,633.0,2.0,1.0,1.0,1.0,2.0,9872.0,267.0,1.0,1.0,1.0,2.0,9.0,100.0,30.0,0.0
54,ECG Study,Resident,MALE,0,resident,Static AOI,aVF Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,8625.0,1284.0,4.0,1.0,1.0,1.0,4.0,2005.0,333.0,1.0,1.0,1.0,10.0,18.0,17.0,18.0,0.0
55,ECG Study,Resident,MALE,0,resident,Static AOI,V3 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,13375.0,1067.0,4.0,1.0,1.0,1.0,3.0,13122.0,766.0,3.0,1.0,1.0,3.0,11.0,83.0,70.0,0.0
56,ECG Study,Resident,MALE,0,resident,Static AOI,V6 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,18875.0,300.0,1.0,1.0,0.0,1.0,0.0,18738.0,167.0,1.0,0.0,1.0,0.0,4.0,33.0,42.0,0.0
57,ECG Study,Resident,MALE,0,resident,Static AOI,V4R Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,30125.0,200.0,1.0,1.0,0.0,0.0,0.0,24264.0,17.0,0.0,0.0,1.0,0.0,1.0,17.0,17.0,0.0
58,ECG Study,Resident,MALE,0,resident,Static AOI,V3R Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,21125.0,400.0,1.0,1.0,1.0,1.0,3.0,6071.0,33.0,0.0,1.0,1.0,2.0,2.0,17.0,17.0,0.0
59,ECG Study,Resident,MALE,0,resident,Static AOI,V7 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,15375.0,600.0,2.0,1.0,1.0,1.0,2.0,6555.0,350.0,1.0,1.0,1.0,3.0,6.0,16.0,58.0,0.0
60,ECG Study,Resident,MALE,0,resident,Static AOI,V8 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,19375.0,583.0,2.0,1.0,0.0,1.0,0.0,19138.0,367.0,1.0,1.0,1.0,2.0,7.0,67.0,52.0,0.0
61,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,4375.0,2167.0,7.0,1.0,1.0,1.0,7.0,4338.0,616.0,2.0,1.0,1.0,9.0,24.0,33.0,26.0,0.0
62,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,6625.0,4118.0,14.0,1.0,1.0,1.0,5.0,6388.0,1316.0,4.0,1.0,1.0,10.0,48.0,16.0,27.0,0.0
63,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 Hyperkalemia,72977,30080,hyperkalemia,72977.0,30080.0,7125.0,2134.0,7.0,1.0,1.0,1.0,4.0,6922.0,868.0,3.0,1.0,1.0,6.0,27.0,17.0,32.0,0.0
64,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial flutter,344069,30076,,,,,,,,,,,,,,,,,,,,
65,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,9625.0,2082.0,7.0,1.0,1.0,1.0,9.0,9556.0,735.0,2.0,1.0,1.0,13.0,26.0,67.0,28.0,0.0
66,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,11625.0,2998.0,10.0,1.0,1.0,1.0,8.0,11355.0,1349.0,4.0,1.0,1.0,11.0,39.0,34.0,35.0,0.0
67,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,17375.0,333.0,1.0,1.0,0.0,1.0,0.0,1306.0,149.0,0.0,1.0,1.0,3.0,7.0,17.0,21.0,0.0
68,ECG Study,Resident,MALE,0,resident,Static AOI,1 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,2875.0,366.0,1.0,1.0,1.0,1.0,2.0,3022.0,117.0,0.0,1.0,1.0,2.0,4.0,17.0,29.0,0.0
69,ECG Study,Resident,MALE,0,resident,Static AOI,aVR AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,4125.0,1433.0,5.0,1.0,1.0,1.0,2.0,3721.0,667.0,2.0,1.0,1.0,3.0,17.0,17.0,39.0,0.0
70,ECG Study,Resident,MALE,0,resident,Static AOI,V1 short AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,5125.0,999.0,3.0,1.0,1.0,1.0,2.0,4822.0,517.0,2.0,1.0,1.0,5.0,15.0,17.0,34.0,0.0
71,ECG Study,Resident,MALE,0,resident,Static AOI,V4 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,30125.0,200.0,1.0,1.0,0.0,0.0,0.0,5489.0,117.0,0.0,1.0,1.0,4.0,5.0,16.0,23.0,0.0
72,ECG Study,Resident,MALE,0,resident,Static AOI,2 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,625.0,1649.0,5.0,1.0,1.0,1.0,3.0,589.0,682.0,2.0,1.0,1.0,5.0,15.0,33.0,45.0,0.0
73,ECG Study,Resident,MALE,0,resident,Static AOI,aVL AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,6625.0,200.0,1.0,1.0,1.0,1.0,2.0,556.0,50.0,0.0,1.0,1.0,2.0,3.0,17.0,17.0,0.0
74,ECG Study,Resident,MALE,0,resident,Static AOI,V2 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,6125.0,550.0,2.0,1.0,1.0,1.0,3.0,4972.0,282.0,1.0,1.0,1.0,5.0,8.0,17.0,35.0,0.0
75,ECG Study,Resident,MALE,0,resident,Static AOI,V5 short AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,6125.0,750.0,2.0,1.0,1.0,1.0,3.0,7539.0,251.0,1.0,1.0,1.0,3.0,7.0,51.0,36.0,0.0
76,ECG Study,Resident,MALE,0,resident,Static AOI,3 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,1375.0,366.0,1.0,1.0,1.0,1.0,2.0,1356.0,100.0,0.0,1.0,1.0,3.0,6.0,17.0,17.0,0.0
77,ECG Study,Resident,MALE,0,resident,Static AOI,aVF AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,875.0,516.0,2.0,1.0,1.0,1.0,3.0,389.0,117.0,0.0,1.0,1.0,5.0,6.0,17.0,19.0,0.0
78,ECG Study,Resident,MALE,0,resident,Static AOI,V3 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,6375.0,500.0,2.0,1.0,1.0,1.0,2.0,6189.0,284.0,1.0,1.0,1.0,5.0,10.0,33.0,28.0,0.0
79,ECG Study,Resident,MALE,0,resident,Static AOI,V6 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,7375.0,500.0,2.0,1.0,1.0,1.0,2.0,7306.0,266.0,1.0,1.0,1.0,2.0,7.0,83.0,38.0,0.0
80,ECG Study,Resident,MALE,0,resident,Static AOI,Information AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,30125.0,17.0,0.0,1.0,0.0,0.0,0.0,30051.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
81,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,375.0,850.0,3.0,1.0,1.0,1.0,3.0,289.0,384.0,1.0,1.0,1.0,7.0,13.0,17.0,30.0,0.0
82,ECG Study,Resident,MALE,0,resident,Static AOI,V1-3 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,7125.0,133.0,0.0,1.0,0.0,1.0,0.0,7039.0,100.0,0.0,0.0,1.0,0.0,3.0,33.0,33.0,0.0
83,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,30125.0,67.0,0.0,1.0,0.0,0.0,0.0,30051.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
84,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,13125.0,5380.0,18.0,1.0,1.0,1.0,15.0,12705.0,2001.0,7.0,1.0,1.0,30.0,66.0,67.0,30.0,0.0
85,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,14875.0,1216.0,4.0,1.0,1.0,1.0,5.0,14605.0,317.0,1.0,1.0,1.0,6.0,14.0,33.0,23.0,0.0
86,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,15875.0,1366.0,5.0,1.0,1.0,1.0,6.0,15872.0,316.0,1.0,1.0,1.0,7.0,13.0,16.0,24.0,0.0
87,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,9375.0,2232.0,7.0,1.0,1.0,1.0,8.0,39.0,599.0,2.0,1.0,1.0,16.0,25.0,17.0,24.0,0.0
88,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,9125.0,783.0,3.0,1.0,1.0,1.0,4.0,9155.0,234.0,1.0,1.0,1.0,5.0,5.0,133.0,47.0,0.0
89,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 AFlutter,344069,30076,Atrial flutter,344069.0,30076.0,9125.0,400.0,1.0,1.0,1.0,1.0,2.0,19255.0,83.0,0.0,1.0,1.0,4.0,4.0,17.0,21.0,0.0
90,ECG Study,Resident,MALE,0,resident,Stimulus,Ventricular tachycardia,142576,30066,,,,,,,,,,,,,,,,,,,,
91,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,5625.0,1183.0,4.0,1.0,1.0,1.0,3.0,5660.0,283.0,1.0,1.0,1.0,4.0,12.0,17.0,24.0,0.0
92,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,6125.0,1616.0,5.0,1.0,1.0,1.0,3.0,6110.0,500.0,2.0,1.0,1.0,8.0,20.0,49.0,25.0,0.0
93,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,6375.0,483.0,2.0,1.0,1.0,1.0,3.0,6343.0,200.0,1.0,1.0,1.0,3.0,8.0,16.0,25.0,0.0
94,ECG Study,Resident,MALE,0,resident,Static AOI,1 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,875.0,716.0,2.0,1.0,1.0,1.0,3.0,810.0,167.0,1.0,1.0,1.0,6.0,8.0,17.0,21.0,0.0
95,ECG Study,Resident,MALE,0,resident,Static AOI,aVR VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,1875.0,500.0,2.0,1.0,1.0,1.0,2.0,1943.0,134.0,0.0,1.0,1.0,2.0,6.0,17.0,22.0,0.0
96,ECG Study,Resident,MALE,0,resident,Static AOI,V1 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,14375.0,3148.0,10.0,1.0,1.0,1.0,5.0,13576.0,967.0,3.0,1.0,1.0,14.0,43.0,50.0,22.0,0.0
97,ECG Study,Resident,MALE,0,resident,Static AOI,V4 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,21375.0,866.0,3.0,1.0,1.0,1.0,2.0,21359.0,367.0,1.0,1.0,1.0,2.0,7.0,117.0,52.0,0.0
98,ECG Study,Resident,MALE,0,resident,Static AOI,2 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,625.0,2848.0,9.0,1.0,1.0,1.0,4.0,460.0,1099.0,4.0,1.0,1.0,11.0,38.0,34.0,29.0,0.0
99,ECG Study,Resident,MALE,0,resident,Static AOI,aVL VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,125.0,1016.0,3.0,1.0,1.0,1.0,4.0,111.0,283.0,1.0,1.0,1.0,10.0,15.0,17.0,19.0,0.0
100,ECG Study,Resident,MALE,0,resident,Static AOI,V2 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,12875.0,3065.0,10.0,1.0,1.0,1.0,9.0,12743.0,1299.0,4.0,1.0,1.0,19.0,45.0,17.0,29.0,0.0
101,ECG Study,Resident,MALE,0,resident,Static AOI,V5 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,13125.0,1283.0,4.0,1.0,1.0,1.0,3.0,13043.0,433.0,1.0,1.0,1.0,6.0,20.0,17.0,22.0,0.0
102,ECG Study,Resident,MALE,0,resident,Static AOI,3 VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,3125.0,516.0,2.0,1.0,1.0,1.0,2.0,627.0,83.0,0.0,1.0,1.0,4.0,4.0,17.0,21.0,0.0
103,ECG Study,Resident,MALE,0,resident,Static AOI,aVF VTach,142576,30066,Ventricular tachycardia,142576.0,30066.0,125.0,1299.0,4.0,1.0,1.0,1.0,4.0,61.0,383.0,1.0,1.0,1.0,7.0,13.0,17.0,29.0,0.0
